age,sex,race,legal_status,custody_status,marital_status,assessment_reason,language,class
20,Male,Caucasian,Pretrial,Jail Inmate,Single,Intake,English,Low
28,Male,Caucasian,Pretrial,Jail Inmate,Married,Intake,English,Low
18,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,High
18,Female,African-American,Pretrial,Jail Inmate,Significant Other,Intake,English,Medium
28,Female,African-American,Pretrial,Jail Inmate,Single,Intake,English,Low
29,Male,Hispanic,Pretrial,Jail Inmate,Single,Intake,English,High
19,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,High
26,Male,Caucasian,Pretrial,Jail Inmate,Single,Intake,English,Low
19,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,Medium
33,Male,Caucasian,Pretrial,Jail Inmate,Single,Intake,English,Low
34,Female,Caucasian,Pretrial,Jail Inmate,Married,Intake,English,Low
25,Female,African-American,Pretrial,Jail Inmate,Single,Intake,English,Low
33,Female,African-American,Pretrial,Jail Inmate,Single,Intake,English,Medium
21,Male,Caucasian,Pretrial,Jail Inmate,Single,Intake,English,Low
28,Male,Caucasian,Pretrial,Jail Inmate,Single,Intake,English,Medium
28,Male,Caucasian,Post Sentence,Probation,Single,Intake,English,Low
25,Male,Other,Pretrial,Jail Inmate,Single,Intake,English,High
32,Female,Caucasian,Pretrial,Jail Inmate,Single,Intake,English,Low
23,Male,Caucasian,Pretrial,Jail Inmate,Single,Intake,English,Low
33,Female,African-American,Pretrial,Jail Inmate,Single,Intake,English,Low
34,Male,Caucasian,Post Sentence,Probation,Single,Intake,English,Medium
24,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,High
20,Male,Caucasian,Post Sentence,Probation,Single,Intake,English,High
18,Male,African-American,Post Sentence,Probation,Single,Intake,English,High
24,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,High
28,Male,Hispanic,Pretrial,Jail Inmate,Single,Intake,English,Medium
25,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,Low
22,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,Medium
36,Male,Caucasian,Post Sentence,Probation,Single,Intake,English,Medium
25,Female,African-American,Pretrial,Jail Inmate,Single,Intake,English,High
29,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,Medium
23,Male,African-American,Conditional Release,Probation,Single,Intake,English,High
30,Male,Other,Pretrial,Jail Inmate,Married,Intake,English,Low
36,Male,Caucasian,Pretrial,Pretrial Defendant,Single,Intake,English,Low
34,Female,African-American,Pretrial,Jail Inmate,Single,Intake,English,Medium
20,Male,Caucasian,Pretrial,Jail Inmate,Single,Intake,English,High
26,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,Medium
27,Male,African-American,Pretrial,Jail Inmate,Divorced,Intake,English,Medium
25,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,High
31,Male,African-American,Post Sentence,Probation,Single,Intake,English,Low
35,Female,Hispanic,Pretrial,Jail Inmate,Divorced,Intake,English,Low
26,Male,Hispanic,Pretrial,Jail Inmate,Single,Intake,English,Medium
30,Female,African-American,Post Sentence,Probation,Single,Intake,English,Medium
21,Female,Caucasian,Pretrial,Pretrial Defendant,Single,Intake,English,Low
24,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,Medium
22,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,Medium
21,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,Medium
31,Male,Caucasian,Pretrial,Pretrial Defendant,Single,Intake,English,Low
22,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,Low
27,Female,African-American,Post Sentence,Probation,Single,Intake,English,Medium
26,Male,Other,Pretrial,Jail Inmate,Single,Intake,English,Low
25,Female,African-American,Other,Probation,Single,Intake,English,Low
29,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,High
33,Male,Caucasian,Post Sentence,Probation,Single,Intake,English,Medium
26,Male,Caucasian,Pretrial,Pretrial Defendant,Single,Intake,English,High
23,Male,African-American,Pretrial,Pretrial Defendant,Single,Intake,English,Low
31,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,Medium
32,Male,Other,Post Sentence,Probation,Single,Intake,English,Low
28,Male,African-American,Pretrial,Jail Inmate,Single,Intake,English,Medium
28,Female,Caucasian,Post Sentence,Probation,Single,Intake,English,Medium
19,Male,African-American,Post Sentence,Probation,Single,Intake,English,Medium
26,Male,Asian,Pretrial,Jail Inmate,Single,Intake,English,High
